,index,time,open,high,low,close,volume,currency_volume
0,0,2023-06-30 16:00:00,30042.5,30045,30008.5,30015,88.122,2646240.4035
1,1,2023-06-30 16:01:00,30015,30018,30007.5,30011.5,59.658,1790415.466
2,2,2023-06-30 16:02:00,30011.5,30023,30011.5,30020,61.236,1838365.3065
3,3,2023-06-30 16:03:00,30020,30027,30002.5,30003.5,140.795,4226295.6795
4,4,2023-06-30 16:04:00,30003.5,30020,29997,30018.5,71.715,2152164.997
5,5,2023-06-30 16:05:00,30018.5,30018.5,29980.5,29986,75.711,2270531.8615
6,6,2023-06-30 16:06:00,29986,29993.5,29922,29947,498.224,14922989.513
7,7,2023-06-30 16:07:00,29947,29963,29921,29945.5,257.988,7724607.238
8,8,2023-06-30 16:08:00,29945.5,29945.5,29912,29936.5,209.853,6279943.794
9,9,2023-06-30 16:09:00,29936.5,29943,29922.5,29937,101.548,3039882.8965
10,10,2023-06-30 16:10:00,29937,29942,29905.5,29941.5,169.888,5084051.4675
11,11,2023-06-30 16:11:00,29941.5,29973,29941,29963.5,194.54,5828745.52
12,12,2023-06-30 16:12:00,29963.5,29963.5,29935,29951,74.977,2245144.8865
13,13,2023-06-30 16:13:00,29951,29983.5,29947,29983,85.901,2574107.5675
14,14,2023-06-30 16:14:00,29983,30007.5,29982.5,29998,204.862,6145374.1265
15,15,2023-06-30 16:15:00,29998,30026.5,29993.5,30024,116.384,3492875.2765
16,16,2023-06-30 16:16:00,30024,30032.5,30014,30031.5,100.675,3022745.0345
17,17,2023-06-30 16:17:00,30031.5,30044.5,30014.5,30035.5,113.945,3421613.434
18,18,2023-06-30 16:18:00,30035.5,30041.5,30024.5,30028,74.041,2223722.304
19,19,2023-06-30 16:19:00,30028,30047,30027.5,30036,74.023,2223396.014
20,20,2023-06-30 16:20:00,30036,30036.5,30035.5,30036,34.745,1043593.885
21,21,2023-06-30 16:21:00,30036,30037,30032,30037,43.809,1315782.1265
22,22,2023-06-30 16:22:00,30037,30050,30036.5,30049.5,40.176,1207124.697
23,23,2023-06-30 16:23:00,30049.5,30083.5,30049.5,30083.5,253.706,7627225.1645
24,24,2023-06-30 16:24:00,30083.5,30093,30083,30087.5,126.433,3803974.705
25,25,2023-06-30 16:25:00,30087.5,30098.5,30077,30077.5,115.681,3480323.273
26,26,2023-06-30 16:26:00,30077.5,30078.5,30066.5,30073,59.943,1802787.3955
27,27,2023-06-30 16:27:00,30073,30122,30072.5,30107,230.713,6946042.7775
28,28,2023-06-30 16:28:00,30107,30134.5,30106.5,30125.5,117.133,3528224.715
29,29,2023-06-30 16:29:00,30125.5,30129.5,30111,30112,89.968,2709717.269
30,30,2023-06-30 16:30:00,30112,30122.5,30100,30114.5,163.658,4927894.2715
31,31,2023-06-30 16:31:00,30114.5,30144.5,30114.5,30136,119.359,3596810.079
32,32,2023-06-30 16:32:00,30136,30158,30134,30156,229.257,6911320.7615
33,33,2023-06-30 16:33:00,30156,30171,30150,30167.5,158.724,4787350.756
34,34,2023-06-30 16:34:00,30167.5,30217,30164,30214.5,286.541,8652360.7665
35,35,2023-06-30 16:35:00,30214.5,30249,30204.5,30225,555.699,16798577.5225
36,36,2023-06-30 16:36:00,30225,30238.5,30197,30197,258.437,7809671.123
37,37,2023-06-30 16:37:00,30197,30221.5,30196,30217.5,158.136,4777546.8825
38,38,2023-06-30 16:38:00,30217.5,30255,30203.5,30254.5,211.851,6405356.143
39,39,2023-06-30 16:39:00,30254.5,30272,30250,30251,417.524,12634574.3865
40,40,2023-06-30 16:40:00,30251,30284.5,30245,30265.5,433.272,13113399.85
41,41,2023-06-30 16:41:00,30265.5,30271.5,30260,30271.5,75.228,2276610.5
42,42,2023-06-30 16:42:00,30271.5,30424,30271,30408,1239.327,37626458.099
43,43,2023-06-30 16:43:00,30408,30419,30364,30376,287.195,8727235.164
44,44,2023-06-30 16:44:00,30376,30398.5,30360.5,30360.5,174.163,5290650.78
45,45,2023-06-30 16:45:00,30360.5,30396,30351,30395,166.347,5053224.913
46,46,2023-06-30 16:46:00,30395,30399,30328.5,30328.5,274.433,8332537.181
47,47,2023-06-30 16:47:00,30328.5,30328.5,30294.5,30316.5,406.618,12323561.417
48,48,2023-06-30 16:48:00,30316.5,30362.5,30316.5,30355,134.155,4071995.506
49,49,2023-06-30 16:49:00,30355,30359.5,30321.5,30359.5,77.018,2337476.801
50,50,2023-06-30 16:50:00,30359.5,30453.5,30358.5,30423,445.079,13544721.976
51,51,2023-06-30 16:51:00,30423,30478,30416.5,30471.5,402.612,12257540.749
52,52,2023-06-30 16:52:00,30471.5,30498,30442.5,30464.5,359.413,10951926.7895
53,53,2023-06-30 16:53:00,30464.5,30481,30425.5,30431.5,225.089,6855827.3055
54,54,2023-06-30 16:54:00,30431.5,30431.5,30388,30414,157.801,4797978.3295
55,55,2023-06-30 16:55:00,30414,30452.5,30413.5,30421,186.501,5675943.662
56,56,2023-06-30 16:56:00,30421,30444,30396.5,30443.5,186.904,5684987.141
57,57,2023-06-30 16:57:00,30443.5,30469,30415,30419.5,160.36,4881633.152
58,58,2023-06-30 16:58:00,30419.5,30433,30383.5,30389.5,199.081,6050336.438
59,59,2023-06-30 16:59:00,30389.5,30395,30368.5,30374.5,262.218,7965643.111
60,60,2023-06-30 17:00:00,30374.5,30410.5,30367.5,30402,296.368,9005588.0515
61,61,2023-06-30 17:01:00,30402,30470,30402,30461,391.774,11924829.2805
62,62,2023-06-30 17:02:00,30461,30473,30383,30388.5,253.439,7713760.2265
63,63,2023-06-30 17:03:00,30388.5,30451.5,30384.5,30439,164.31,4997274.135
64,64,2023-06-30 17:04:00,30439,30499,30433,30478,255.996,7803411.8175
65,65,2023-06-30 17:05:00,30478,30495,30453,30454.5,123.576,3765835.9395
66,66,2023-06-30 17:06:00,30454.5,30455,30418,30430,105.477,3210252.9115
67,67,2023-06-30 17:07:00,30430,30463.5,30427,30450,95.732,2914867.9555
68,68,2023-06-30 17:08:00,30450,30455.5,30430,30430,87.064,2650115.149
69,69,2023-06-30 17:09:00,30430,30430,30374,30381.5,210.63,6402242.139
70,70,2023-06-30 17:10:00,30381.5,30413,30354.5,30413,161.628,4910017.1255
71,71,2023-06-30 17:11:00,30413,30420.5,30378.5,30388.5,122.249,3716203.815
72,72,2023-06-30 17:12:00,30388.5,30399.5,30384.5,30392.5,53.273,1619143.9625
73,73,2023-06-30 17:13:00,30392.5,30435,30392.5,30435,86.789,2639502.6085
74,74,2023-06-30 17:14:00,30435,30452,30434,30439,127.572,3883387.569
75,75,2023-06-30 17:15:00,30439,30511,30438,30493.5,375.836,11456285.1125
76,76,2023-06-30 17:16:00,30493.5,30540,30491,30539.5,267.153,8153998.04
77,77,2023-06-30 17:17:00,30539.5,30539.5,30504,30536.5,139.135,4247297.9345
78,78,2023-06-30 17:18:00,30536.5,30545,30522,30532.5,156.721,4785500.2085
79,79,2023-06-30 17:19:00,30532.5,30605,30532,30602.5,480.781,14698651.062
80,80,2023-06-30 17:20:00,30602.5,30669,30593,30611.5,642.341,19674060.267
81,81,2023-06-30 17:21:00,30611.5,30654,30609,30637,264.713,8110201.877
82,82,2023-06-30 17:22:00,30637,30720,30635,30688,707.444,21713207.167
83,83,2023-06-30 17:23:00,30688,30699,30596.5,30610,455.388,13958456.9265
84,84,2023-06-30 17:24:00,30610,30655,30595.5,30650,347.06,10628554.417
85,85,2023-06-30 17:25:00,30650,30682.5,30645,30665.5,282.525,8664795.6175
86,86,2023-06-30 17:26:00,30665.5,30668,30621.5,30663.5,152.437,4671020.8965
87,87,2023-06-30 17:27:00,30663.5,30668.5,30620,30620.5,75.573,2315294.1835
88,88,2023-06-30 17:28:00,30620.5,30621,30544.5,30544.5,345.212,10557334.843
89,89,2023-06-30 17:29:00,30544.5,30550,30517.5,30527.5,210.865,6438027.714
90,90,2023-06-30 17:30:00,30527.5,30569,30525,30525,250.729,7660711.0345
91,91,2023-06-30 17:31:00,30525,30534.5,30492.5,30512,213.793,6522901.3915
92,92,2023-06-30 17:32:00,30512,30516,30453,30484,392.818,11972429.1
93,93,2023-06-30 17:33:00,30484,30509.5,30478,30506.5,136.366,4157803.5295
94,94,2023-06-30 17:34:00,30506.5,30522,30486.5,30486.5,99.92,3048643.307
95,95,2023-06-30 17:35:00,30486.5,30505.5,30475,30492.5,90.07,2746323.0945
96,96,2023-06-30 17:36:00,30492.5,30533,30484.5,30525.5,94.254,2875834.9905
97,97,2023-06-30 17:37:00,30525.5,30545.5,30523.5,30526,77.107,2354196.165
98,98,2023-06-30 17:38:00,30526,30532,30501,30501.5,46.44,1416970.172
99,99,2023-06-30 17:39:00,30501.5,30524.5,30501.5,30522.5,52.679,1607625.542
100,100,2023-06-30 17:40:00,30522.5,30579.5,30522.5,30579,140.418,4290505.241
101,101,2023-06-30 17:41:00,30579,30648,30579,30629,315.388,9654434.2155
102,102,2023-06-30 17:42:00,30629,30631,30601,30607.5,129.942,3978106.5815
103,103,2023-06-30 17:43:00,30607.5,30616,30579,30579,103.238,3159113.9835
104,104,2023-06-30 17:44:00,30579,30590.5,30567,30590,64.312,1966346.806
105,105,2023-06-30 17:45:00,30590,30605.5,30521,30525.5,132.126,4036465.673
106,106,2023-06-30 17:46:00,30525.5,30542.5,30515.5,30527,221.083,6749597.495
107,107,2023-06-30 17:47:00,30527,30557,30514.5,30515,73.723,2251056.5745
108,108,2023-06-30 17:48:00,30515,30535,30483,30503,196.736,6001143.6585
109,109,2023-06-30 17:49:00,30503,30510.5,30479,30500.5,215.997,6587125.867
110,110,2023-06-30 17:50:00,30500.5,30517.5,30496.5,30496.5,49.057,1496629.8755
111,111,2023-06-30 17:51:00,30496.5,30519,30483,30516.5,112.058,3418167.851
112,112,2023-06-30 17:52:00,30516.5,30537.5,30516.5,30523,74.575,2276798.7315
113,113,2023-06-30 17:53:00,30523,30525,30480,30480.5,62.047,1892744.278
114,114,2023-06-30 17:54:00,30480.5,30502.5,30480.5,30502,84.37,2572657.2685
115,115,2023-06-30 17:55:00,30502,30506.5,30480.5,30496,66.514,2028391.486
116,116,2023-06-30 17:56:00,30496,30519.5,30488,30513,73.386,2238549.129
117,117,2023-06-30 17:57:00,30513,30513,30485,30487,78.06,2380088.438
118,118,2023-06-30 17:58:00,30487,30495,30397,30431,510.354,15527211.993
119,119,2023-06-30 17:59:00,30431,30443.5,30407.5,30431,127.408,3877011.9615
120,120,2023-06-30 18:00:00,30431,30453.5,30426.5,30453,114.403,3482912.6685
121,121,2023-06-30 18:01:00,30453,30499,30452.5,30497.5,207.858,6332830.3845
122,122,2023-06-30 18:02:00,30497.5,30512,30492.5,30504.5,62.849,1917118.9885
123,123,2023-06-30 18:03:00,30504.5,30506,30469,30473,93.373,2846465.083
124,124,2023-06-30 18:04:00,30473,30488,30467,30470,185.984,5669224.2985
125,125,2023-06-30 18:05:00,30470,30477,30462.5,30470.5,47.136,1436210.715
126,126,2023-06-30 18:06:00,30470.5,30478.5,30466,30466.5,34.41,1048482.0065
127,127,2023-06-30 18:07:00,30466.5,30466.5,30429,30432.5,135.712,4132034.896
128,128,2023-06-30 18:08:00,30432.5,30432.5,30396,30400.5,134.734,4097434.097
129,129,2023-06-30 18:09:00,30400.5,30420,30340.5,30344.5,449.942,13662240.6035
130,130,2023-06-30 18:10:00,30344.5,30380,30327,30374.5,230.304,6988935.145
131,131,2023-06-30 18:11:00,30374.5,30388,30366.5,30388,86.847,2638112.735
132,132,2023-06-30 18:12:00,30388,30409,30386.5,30398,41.759,1269400.2595
133,133,2023-06-30 18:13:00,30398,30432,30392.5,30432,67.4,2049838.227
134,134,2023-06-30 18:14:00,30432,30432,30401,30407.5,78.403,2384293.004
135,135,2023-06-30 18:15:00,30407.5,30432.5,30407.5,30418.5,92.427,2811366.6745
136,136,2023-06-30 18:16:00,30418.5,30418.5,30383.5,30401,129.27,3929395.967
137,137,2023-06-30 18:17:00,30401,30430,30400,30400,71.182,2164765.2965
138,138,2023-06-30 18:18:00,30400,30400,30387,30392,62.531,1900502.721
139,139,2023-06-30 18:19:00,30392,30397.5,30383.5,30387,68.159,2071393.812
140,140,2023-06-30 18:20:00,30387,30429,30386.5,30413,94.129,2862330.219
141,141,2023-06-30 18:21:00,30413,30432.5,30413,30417,88.781,2700930.1645
142,142,2023-06-30 18:22:00,30417,30439,30417,30432.5,90.663,2759024.4825
143,143,2023-06-30 18:23:00,30432.5,30435.5,30414,30418,58.086,1767321.907
144,144,2023-06-30 18:24:00,30418,30424.5,30414.5,30416,71.649,2179604.608
145,145,2023-06-30 18:25:00,30416,30416,30376,30399,56.776,1725463.2965
